tournament=1, best_loss=10.86, avg_loss=12.80, champion_idx=52, best_win_streak=1.0, record_holder_idx=0, env_step_runtime=1.97 seconds
tournament=29, best_loss=11.71, avg_loss=13.55, champion_idx=18, best_win_streak=20.0, record_holder_idx=3, env_step_runtime=1.81 seconds
tournament=30, best_loss=11.76, avg_loss=13.59, champion_idx=99, best_win_streak=21.0, record_holder_idx=114, env_step_runtime=1.79 seconds
tournament=31, best_loss=12.31, avg_loss=13.72, champion_idx=89, best_win_streak=22.0, record_holder_idx=114, env_step_runtime=1.76 seconds
tournament=32, best_loss=11.72, avg_loss=13.32, champion_idx=15, best_win_streak=22.0, record_holder_idx=35, env_step_runtime=1.85 seconds
tournament=33, best_loss=11.77, avg_loss=13.76, champion_idx=79, best_win_streak=23.0, record_holder_idx=35, env_step_runtime=2.02 seconds
tournament=34, best_loss=11.64, avg_loss=13.31, champion_idx=113, best_win_streak=24.0, record_holder_idx=35, env_step_runtime=2.04 seconds
tournament=35, best_loss=12.50, avg_loss=14.14, champion_idx=107, best_win_streak=24.0, record_holder_idx=114, env_step_runtime=1.98 seconds
tournament=36, best_loss=11.86, avg_loss=13.48, champion_idx=97, best_win_streak=23.0, record_holder_idx=1, env_step_runtime=1.82 seconds
tournament=37, best_loss=11.11, avg_loss=13.55, champion_idx=85, best_win_streak=24.0, record_holder_idx=1, env_step_runtime=1.90 seconds
tournament=38, best_loss=11.61, avg_loss=13.51, champion_idx=61, best_win_streak=25.0, record_holder_idx=1, env_step_runtime=1.85 seconds
tournament=39, best_loss=12.03, avg_loss=13.60, champion_idx=71, best_win_streak=25.0, record_holder_idx=3, env_step_runtime=1.93 seconds
tournament=40, best_loss=11.46, avg_loss=13.28, champion_idx=19, best_win_streak=26.0, record_holder_idx=3, env_step_runtime=1.96 seconds
tournament=41, best_loss=11.93, avg_loss=13.82, champion_idx=71, best_win_streak=27.0, record_holder_idx=3, env_step_runtime=2.05 seconds
tournament=42, best_loss=11.88, avg_loss=13.66, champion_idx=63, best_win_streak=28.0, record_holder_idx=3, env_step_runtime=1.82 seconds
tournament=43, best_loss=11.26, avg_loss=13.12, champion_idx=121, best_win_streak=29.0, record_holder_idx=3, env_step_runtime=1.96 seconds
tournament=44, best_loss=11.75, avg_loss=13.66, champion_idx=79, best_win_streak=29.0, record_holder_idx=99, env_step_runtime=1.89 seconds
tournament=45, best_loss=11.28, avg_loss=13.16, champion_idx=75, best_win_streak=30.0, record_holder_idx=99, env_step_runtime=1.90 seconds
tournament=46, best_loss=11.31, avg_loss=12.61, champion_idx=80, best_win_streak=31.0, record_holder_idx=99, env_step_runtime=1.96 seconds
tournament=47, best_loss=11.71, avg_loss=13.06, champion_idx=22, best_win_streak=32.0, record_holder_idx=103, env_step_runtime=1.90 seconds
tournament=48, best_loss=11.72, avg_loss=13.59, champion_idx=62, best_win_streak=33.0, record_holder_idx=103, env_step_runtime=1.85 seconds
tournament=49, best_loss=11.95, avg_loss=13.51, champion_idx=65, best_win_streak=34.0, record_holder_idx=103, env_step_runtime=1.92 seconds
tournament=50, best_loss=11.70, avg_loss=13.87, champion_idx=66, best_win_streak=35.0, record_holder_idx=103, env_step_runtime=1.88 seconds
tournament=51, best_loss=11.44, avg_loss=13.14, champion_idx=98, best_win_streak=36.0, record_holder_idx=103, env_step_runtime=1.93 seconds
tournament=52, best_loss=11.89, avg_loss=13.99, champion_idx=20, best_win_streak=37.0, record_holder_idx=103, env_step_runtime=2.08 seconds
tournament=53, best_loss=11.54, avg_loss=13.40, champion_idx=86, best_win_streak=37.0, record_holder_idx=111, env_step_runtime=1.96 seconds
tournament=54, best_loss=12.59, avg_loss=14.19, champion_idx=109, best_win_streak=38.0, record_holder_idx=111, env_step_runtime=2.01 seconds
tournament=55, best_loss=12.80, avg_loss=14.42, champion_idx=10, best_win_streak=39.0, record_holder_idx=111, env_step_runtime=2.04 seconds
tournament=56, best_loss=11.61, avg_loss=13.66, champion_idx=66, best_win_streak=39.0, record_holder_idx=70, env_step_runtime=2.12 seconds
tournament=57, best_loss=11.43, avg_loss=13.14, champion_idx=12, best_win_streak=40.0, record_holder_idx=70, env_step_runtime=2.36 seconds
tournament=58, best_loss=11.66, avg_loss=13.95, champion_idx=30, best_win_streak=40.0, record_holder_idx=10, env_step_runtime=2.47 seconds
tournament=59, best_loss=11.95, avg_loss=13.40, champion_idx=85, best_win_streak=41.0, record_holder_idx=106, env_step_runtime=2.09 seconds
tournament=60, best_loss=11.38, avg_loss=13.69, champion_idx=59, best_win_streak=40.0, record_holder_idx=11, env_step_runtime=1.90 seconds
tournament=61, best_loss=11.64, avg_loss=13.41, champion_idx=86, best_win_streak=41.0, record_holder_idx=11, env_step_runtime=1.93 seconds
tournament=62, best_loss=10.94, avg_loss=12.83, champion_idx=50, best_win_streak=42.0, record_holder_idx=79, env_step_runtime=2.08 seconds
tournament=63, best_loss=10.74, avg_loss=12.97, champion_idx=61, best_win_streak=42.0, record_holder_idx=92, env_step_runtime=2.02 seconds
tournament=64, best_loss=11.90, avg_loss=13.54, champion_idx=120, best_win_streak=42.0, record_holder_idx=26, env_step_runtime=2.10 seconds
tournament=65, best_loss=11.46, avg_loss=12.91, champion_idx=57, best_win_streak=43.0, record_holder_idx=26, env_step_runtime=2.51 seconds
tournament=66, best_loss=12.06, avg_loss=13.61, champion_idx=126, best_win_streak=44.0, record_holder_idx=26, env_step_runtime=2.00 seconds
tournament=67, best_loss=11.57, avg_loss=13.59, champion_idx=4, best_win_streak=45.0, record_holder_idx=126, env_step_runtime=1.99 seconds
tournament=68, best_loss=11.91, avg_loss=13.51, champion_idx=101, best_win_streak=46.0, record_holder_idx=126, env_step_runtime=1.83 seconds
tournament=69, best_loss=11.52, avg_loss=13.40, champion_idx=110, best_win_streak=47.0, record_holder_idx=126, env_step_runtime=1.86 seconds
tournament=70, best_loss=11.83, avg_loss=14.02, champion_idx=83, best_win_streak=48.0, record_holder_idx=126, env_step_runtime=1.86 seconds
tournament=71, best_loss=11.30, avg_loss=12.91, champion_idx=74, best_win_streak=49.0, record_holder_idx=126, env_step_runtime=2.13 seconds
tournament=72, best_loss=11.85, avg_loss=13.22, champion_idx=58, best_win_streak=49.0, record_holder_idx=95, env_step_runtime=1.86 seconds
tournament=73, best_loss=11.66, avg_loss=13.31, champion_idx=125, best_win_streak=49.0, record_holder_idx=83, env_step_runtime=1.93 seconds
tournament=74, best_loss=12.18, avg_loss=13.46, champion_idx=44, best_win_streak=47.0, record_holder_idx=107, env_step_runtime=1.82 seconds
tournament=75, best_loss=12.13, avg_loss=13.52, champion_idx=102, best_win_streak=48.0, record_holder_idx=107, env_step_runtime=1.84 seconds
tournament=76, best_loss=12.29, avg_loss=14.20, champion_idx=86, best_win_streak=48.0, record_holder_idx=84, env_step_runtime=2.02 seconds
tournament=77, best_loss=11.58, avg_loss=13.24, champion_idx=56, best_win_streak=47.0, record_holder_idx=51, env_step_runtime=1.93 seconds
tournament=78, best_loss=11.33, avg_loss=13.76, champion_idx=102, best_win_streak=47.0, record_holder_idx=60, env_step_runtime=1.83 seconds
tournament=79, best_loss=11.37, avg_loss=13.10, champion_idx=114, best_win_streak=48.0, record_holder_idx=60, env_step_runtime=2.09 seconds
tournament=80, best_loss=11.40, avg_loss=13.58, champion_idx=120, best_win_streak=49.0, record_holder_idx=60, env_step_runtime=1.89 seconds
tournament=81, best_loss=11.68, avg_loss=13.79, champion_idx=77, best_win_streak=49.0, record_holder_idx=49, env_step_runtime=1.88 seconds
tournament=82, best_loss=11.49, avg_loss=13.20, champion_idx=19, best_win_streak=50.0, record_holder_idx=49, env_step_runtime=1.97 seconds
tournament=83, best_loss=12.11, avg_loss=13.84, champion_idx=109, best_win_streak=50.0, record_holder_idx=91, env_step_runtime=1.86 seconds
tournament=84, best_loss=11.88, avg_loss=13.42, champion_idx=64, best_win_streak=49.0, record_holder_idx=33, env_step_runtime=1.95 seconds
tournament=85, best_loss=12.33, avg_loss=13.91, champion_idx=45, best_win_streak=49.0, record_holder_idx=25, env_step_runtime=1.87 seconds
tournament=86, best_loss=11.82, avg_loss=13.34, champion_idx=96, best_win_streak=50.0, record_holder_idx=25, env_step_runtime=1.94 seconds
tournament=87, best_loss=12.48, avg_loss=14.36, champion_idx=34, best_win_streak=50.0, record_holder_idx=88, env_step_runtime=2.04 seconds
tournament=88, best_loss=10.89, avg_loss=12.61, champion_idx=28, best_win_streak=50.0, record_holder_idx=114, env_step_runtime=1.91 seconds
tournament=89, best_loss=11.25, avg_loss=13.31, champion_idx=92, best_win_streak=51.0, record_holder_idx=114, env_step_runtime=1.92 seconds
tournament=90, best_loss=11.45, avg_loss=13.43, champion_idx=75, best_win_streak=52.0, record_holder_idx=114, env_step_runtime=1.91 seconds
tournament=91, best_loss=11.57, avg_loss=13.42, champion_idx=48, best_win_streak=53.0, record_holder_idx=114, env_step_runtime=1.88 seconds
tournament=92, best_loss=11.62, avg_loss=13.47, champion_idx=53, best_win_streak=54.0, record_holder_idx=114, env_step_runtime=2.04 seconds
tournament=93, best_loss=12.24, avg_loss=13.72, champion_idx=98, best_win_streak=54.0, record_holder_idx=72, env_step_runtime=1.94 seconds
tournament=94, best_loss=11.22, avg_loss=13.02, champion_idx=78, best_win_streak=54.0, record_holder_idx=68, env_step_runtime=1.88 seconds
tournament=95, best_loss=11.81, avg_loss=13.41, champion_idx=52, best_win_streak=55.0, record_holder_idx=68, env_step_runtime=1.80 seconds
tournament=96, best_loss=11.83, avg_loss=13.60, champion_idx=107, best_win_streak=53.0, record_holder_idx=49, env_step_runtime=1.86 seconds
tournament=97, best_loss=12.23, avg_loss=13.77, champion_idx=48, best_win_streak=54.0, record_holder_idx=69, env_step_runtime=1.88 seconds
tournament=98, best_loss=11.28, avg_loss=13.49, champion_idx=125, best_win_streak=54.0, record_holder_idx=11, env_step_runtime=1.87 seconds
tournament=99, best_loss=11.18, avg_loss=12.65, champion_idx=3, best_win_streak=55.0, record_holder_idx=11, env_step_runtime=1.80 seconds
tournament=100, best_loss=11.39, avg_loss=12.93, champion_idx=81, best_win_streak=56.0, record_holder_idx=11, env_step_runtime=1.92 seconds
tournament=101, best_loss=11.92, avg_loss=13.70, champion_idx=8, best_win_streak=57.0, record_holder_idx=53, env_step_runtime=1.87 seconds
tournament=102, best_loss=12.49, avg_loss=13.81, champion_idx=41, best_win_streak=58.0, record_holder_idx=53, env_step_runtime=1.93 seconds
tournament=103, best_loss=11.49, avg_loss=13.52, champion_idx=64, best_win_streak=57.0, record_holder_idx=28, env_step_runtime=1.93 seconds
tournament=104, best_loss=11.57, avg_loss=13.29, champion_idx=52, best_win_streak=57.0, record_holder_idx=44, env_step_runtime=1.90 seconds
tournament=105, best_loss=10.82, avg_loss=13.34, champion_idx=57, best_win_streak=58.0, record_holder_idx=44, env_step_runtime=1.80 seconds
tournament=106, best_loss=11.65, avg_loss=12.91, champion_idx=103, best_win_streak=59.0, record_holder_idx=44, env_step_runtime=1.80 seconds
tournament=107, best_loss=11.78, avg_loss=13.20, champion_idx=67, best_win_streak=59.0, record_holder_idx=22, env_step_runtime=1.81 seconds
tournament=108, best_loss=11.75, avg_loss=13.39, champion_idx=13, best_win_streak=60.0, record_holder_idx=22, env_step_runtime=1.79 seconds
tournament=109, best_loss=12.07, avg_loss=13.65, champion_idx=118, best_win_streak=60.0, record_holder_idx=106, env_step_runtime=1.84 seconds
tournament=110, best_loss=12.58, avg_loss=14.15, champion_idx=14, best_win_streak=60.0, record_holder_idx=64, env_step_runtime=1.77 seconds
tournament=111, best_loss=12.01, avg_loss=13.66, champion_idx=111, best_win_streak=61.0, record_holder_idx=64, env_step_runtime=1.83 seconds
tournament=112, best_loss=11.98, avg_loss=13.61, champion_idx=126, best_win_streak=61.0, record_holder_idx=93, env_step_runtime=1.83 seconds
tournament=113, best_loss=11.35, avg_loss=12.91, champion_idx=105, best_win_streak=62.0, record_holder_idx=93, env_step_runtime=1.78 seconds
tournament=114, best_loss=11.34, avg_loss=13.44, champion_idx=111, best_win_streak=63.0, record_holder_idx=93, env_step_runtime=1.92 seconds
tournament=115, best_loss=11.77, avg_loss=13.68, champion_idx=78, best_win_streak=64.0, record_holder_idx=93, env_step_runtime=1.99 seconds
tournament=116, best_loss=12.20, avg_loss=13.89, champion_idx=33, best_win_streak=64.0, record_holder_idx=15, env_step_runtime=1.92 seconds
tournament=117, best_loss=11.04, avg_loss=13.00, champion_idx=25, best_win_streak=64.0, record_holder_idx=70, env_step_runtime=1.90 seconds
tournament=118, best_loss=11.39, avg_loss=13.12, champion_idx=99, best_win_streak=64.0, record_holder_idx=5, env_step_runtime=1.84 seconds
tournament=119, best_loss=11.80, avg_loss=13.45, champion_idx=40, best_win_streak=64.0, record_holder_idx=8, env_step_runtime=1.80 seconds
tournament=120, best_loss=12.12, avg_loss=13.94, champion_idx=112, best_win_streak=65.0, record_holder_idx=68, env_step_runtime=1.96 seconds
tournament=121, best_loss=11.89, avg_loss=13.62, champion_idx=19, best_win_streak=66.0, record_holder_idx=68, env_step_runtime=1.86 seconds
tournament=122, best_loss=12.37, avg_loss=14.27, champion_idx=53, best_win_streak=67.0, record_holder_idx=68, env_step_runtime=1.76 seconds
tournament=123, best_loss=12.04, avg_loss=13.92, champion_idx=67, best_win_streak=68.0, record_holder_idx=68, env_step_runtime=2.02 seconds
tournament=124, best_loss=12.07, avg_loss=13.80, champion_idx=26, best_win_streak=69.0, record_holder_idx=68, env_step_runtime=1.84 seconds
tournament=125, best_loss=11.75, avg_loss=13.53, champion_idx=64, best_win_streak=70.0, record_holder_idx=68, env_step_runtime=1.92 seconds
tournament=126, best_loss=12.12, avg_loss=13.61, champion_idx=58, best_win_streak=70.0, record_holder_idx=84, env_step_runtime=1.79 seconds
tournament=127, best_loss=12.08, avg_loss=13.66, champion_idx=116, best_win_streak=70.0, record_holder_idx=38, env_step_runtime=1.86 seconds
tournament=128, best_loss=11.57, avg_loss=12.96, champion_idx=47, best_win_streak=71.0, record_holder_idx=38, env_step_runtime=1.83 seconds
tournament=129, best_loss=11.57, avg_loss=13.47, champion_idx=29, best_win_streak=72.0, record_holder_idx=38, env_step_runtime=1.90 seconds
tournament=130, best_loss=11.74, avg_loss=13.83, champion_idx=78, best_win_streak=72.0, record_holder_idx=100, env_step_runtime=1.86 seconds
tournament=131, best_loss=11.46, avg_loss=13.24, champion_idx=22, best_win_streak=73.0, record_holder_idx=112, env_step_runtime=2.03 seconds
tournament=132, best_loss=11.64, avg_loss=13.15, champion_idx=84, best_win_streak=74.0, record_holder_idx=112, env_step_runtime=1.92 seconds
tournament=133, best_loss=11.01, avg_loss=12.84, champion_idx=62, best_win_streak=75.0, record_holder_idx=112, env_step_runtime=1.90 seconds
tournament=134, best_loss=12.11, avg_loss=13.91, champion_idx=81, best_win_streak=76.0, record_holder_idx=112, env_step_runtime=1.85 seconds
tournament=135, best_loss=12.03, avg_loss=13.45, champion_idx=111, best_win_streak=77.0, record_holder_idx=112, env_step_runtime=1.77 seconds
tournament=136, best_loss=12.18, avg_loss=13.53, champion_idx=103, best_win_streak=78.0, record_holder_idx=112, env_step_runtime=1.87 seconds
tournament=137, best_loss=12.07, avg_loss=13.73, champion_idx=52, best_win_streak=79.0, record_holder_idx=112, env_step_runtime=1.86 seconds
tournament=138, best_loss=11.02, avg_loss=12.99, champion_idx=76, best_win_streak=80.0, record_holder_idx=112, env_step_runtime=1.78 seconds
tournament=139, best_loss=11.98, avg_loss=13.29, champion_idx=63, best_win_streak=81.0, record_holder_idx=112, env_step_runtime=1.81 seconds
tournament=140, best_loss=11.34, avg_loss=12.89, champion_idx=49, best_win_streak=82.0, record_holder_idx=112, env_step_runtime=1.81 seconds
tournament=141, best_loss=11.82, avg_loss=13.49, champion_idx=62, best_win_streak=82.0, record_holder_idx=36, env_step_runtime=1.75 seconds
tournament=142, best_loss=11.60, avg_loss=13.20, champion_idx=75, best_win_streak=83.0, record_holder_idx=36, env_step_runtime=1.82 seconds
tournament=143, best_loss=10.97, avg_loss=12.88, champion_idx=124, best_win_streak=83.0, record_holder_idx=15, env_step_runtime=1.78 seconds
tournament=144, best_loss=11.23, avg_loss=12.99, champion_idx=122, best_win_streak=84.0, record_holder_idx=15, env_step_runtime=1.81 seconds
tournament=145, best_loss=12.38, avg_loss=14.18, champion_idx=125, best_win_streak=85.0, record_holder_idx=15, env_step_runtime=1.82 seconds
tournament=146, best_loss=12.21, avg_loss=13.51, champion_idx=100, best_win_streak=84.0, record_holder_idx=44, env_step_runtime=1.96 seconds
tournament=147, best_loss=11.30, avg_loss=13.41, champion_idx=115, best_win_streak=85.0, record_holder_idx=44, env_step_runtime=1.83 seconds
tournament=148, best_loss=11.26, avg_loss=12.84, champion_idx=69, best_win_streak=86.0, record_holder_idx=44, env_step_runtime=1.77 seconds
tournament=149, best_loss=11.94, avg_loss=13.92, champion_idx=16, best_win_streak=87.0, record_holder_idx=44, env_step_runtime=1.98 seconds
tournament=150, best_loss=10.89, avg_loss=12.90, champion_idx=34, best_win_streak=87.0, record_holder_idx=61, env_step_runtime=1.84 seconds
tournament=151, best_loss=11.53, avg_loss=13.14, champion_idx=93, best_win_streak=88.0, record_holder_idx=61, env_step_runtime=1.86 seconds
tournament=152, best_loss=11.80, avg_loss=13.45, champion_idx=119, best_win_streak=89.0, record_holder_idx=61, env_step_runtime=1.76 seconds
tournament=153, best_loss=11.05, avg_loss=13.46, champion_idx=125, best_win_streak=89.0, record_holder_idx=4, env_step_runtime=1.76 seconds
tournament=154, best_loss=11.88, avg_loss=14.08, champion_idx=63, best_win_streak=90.0, record_holder_idx=4, env_step_runtime=2.13 seconds
tournament=155, best_loss=11.70, avg_loss=13.25, champion_idx=1, best_win_streak=91.0, record_holder_idx=4, env_step_runtime=1.87 seconds
tournament=156, best_loss=11.29, avg_loss=13.09, champion_idx=107, best_win_streak=91.0, record_holder_idx=20, env_step_runtime=1.77 seconds
tournament=157, best_loss=12.22, avg_loss=13.96, champion_idx=49, best_win_streak=92.0, record_holder_idx=70, env_step_runtime=1.87 seconds
tournament=158, best_loss=11.62, avg_loss=13.13, champion_idx=31, best_win_streak=93.0, record_holder_idx=96, env_step_runtime=1.84 seconds
tournament=159, best_loss=11.02, avg_loss=13.07, champion_idx=18, best_win_streak=93.0, record_holder_idx=112, env_step_runtime=1.79 seconds
tournament=160, best_loss=12.03, avg_loss=13.65, champion_idx=84, best_win_streak=94.0, record_holder_idx=112, env_step_runtime=1.77 seconds
tournament=161, best_loss=11.61, avg_loss=13.05, champion_idx=13, best_win_streak=94.0, record_holder_idx=13, env_step_runtime=1.93 seconds
tournament=162, best_loss=11.86, avg_loss=13.47, champion_idx=51, best_win_streak=95.0, record_holder_idx=13, env_step_runtime=1.80 seconds
tournament=163, best_loss=10.94, avg_loss=13.30, champion_idx=91, best_win_streak=95.0, record_holder_idx=60, env_step_runtime=1.92 seconds
tournament=164, best_loss=12.14, avg_loss=13.57, champion_idx=124, best_win_streak=95.0, record_holder_idx=84, env_step_runtime=1.78 seconds
tournament=165, best_loss=11.83, avg_loss=13.73, champion_idx=82, best_win_streak=95.0, record_holder_idx=46, env_step_runtime=1.83 seconds
tournament=166, best_loss=10.73, avg_loss=12.88, champion_idx=99, best_win_streak=96.0, record_holder_idx=111, env_step_runtime=1.76 seconds
tournament=167, best_loss=12.01, avg_loss=13.91, champion_idx=120, best_win_streak=97.0, record_holder_idx=111, env_step_runtime=1.77 seconds
tournament=168, best_loss=11.96, avg_loss=13.72, champion_idx=5, best_win_streak=97.0, record_holder_idx=66, env_step_runtime=1.91 seconds
tournament=169, best_loss=11.53, avg_loss=12.91, champion_idx=44, best_win_streak=98.0, record_holder_idx=66, env_step_runtime=1.75 seconds
tournament=170, best_loss=11.68, avg_loss=13.23, champion_idx=18, best_win_streak=96.0, record_holder_idx=99, env_step_runtime=2.02 seconds
tournament=171, best_loss=11.56, avg_loss=13.45, champion_idx=81, best_win_streak=95.0, record_holder_idx=7, env_step_runtime=1.82 seconds
tournament=172, best_loss=11.38, avg_loss=13.41, champion_idx=99, best_win_streak=96.0, record_holder_idx=47, env_step_runtime=1.76 seconds
tournament=173, best_loss=11.71, avg_loss=13.17, champion_idx=106, best_win_streak=96.0, record_holder_idx=95, env_step_runtime=1.77 seconds
tournament=174, best_loss=12.09, avg_loss=13.86, champion_idx=11, best_win_streak=97.0, record_holder_idx=103, env_step_runtime=2.11 seconds
tournament=175, best_loss=11.50, avg_loss=13.66, champion_idx=123, best_win_streak=97.0, record_holder_idx=39, env_step_runtime=1.84 seconds
tournament=176, best_loss=11.84, avg_loss=13.99, champion_idx=21, best_win_streak=98.0, record_holder_idx=39, env_step_runtime=1.79 seconds
tournament=177, best_loss=10.99, avg_loss=13.48, champion_idx=25, best_win_streak=99.0, record_holder_idx=39, env_step_runtime=1.89 seconds
tournament=178, best_loss=11.59, avg_loss=14.00, champion_idx=116, best_win_streak=100.0, record_holder_idx=39, env_step_runtime=1.76 seconds
tournament=179, best_loss=11.60, avg_loss=12.99, champion_idx=85, best_win_streak=101.0, record_holder_idx=39, env_step_runtime=2.13 seconds
tournament=180, best_loss=11.72, avg_loss=13.65, champion_idx=94, best_win_streak=102.0, record_holder_idx=39, env_step_runtime=1.76 seconds
tournament=181, best_loss=11.65, avg_loss=13.88, champion_idx=127, best_win_streak=102.0, record_holder_idx=57, env_step_runtime=1.92 seconds
tournament=182, best_loss=11.31, avg_loss=13.15, champion_idx=40, best_win_streak=101.0, record_holder_idx=68, env_step_runtime=1.85 seconds
tournament=183, best_loss=11.60, avg_loss=13.30, champion_idx=103, best_win_streak=102.0, record_holder_idx=98, env_step_runtime=1.79 seconds
tournament=184, best_loss=11.98, avg_loss=13.68, champion_idx=93, best_win_streak=102.0, record_holder_idx=76, env_step_runtime=1.91 seconds
tournament=185, best_loss=11.41, avg_loss=13.31, champion_idx=57, best_win_streak=103.0, record_holder_idx=76, env_step_runtime=1.77 seconds
tournament=186, best_loss=11.95, avg_loss=13.51, champion_idx=116, best_win_streak=104.0, record_holder_idx=76, env_step_runtime=1.84 seconds
tournament=187, best_loss=11.52, avg_loss=13.48, champion_idx=62, best_win_streak=104.0, record_holder_idx=79, env_step_runtime=1.78 seconds
tournament=188, best_loss=11.73, avg_loss=13.21, champion_idx=104, best_win_streak=104.0, record_holder_idx=23, env_step_runtime=1.81 seconds
tournament=189, best_loss=11.24, avg_loss=12.97, champion_idx=33, best_win_streak=105.0, record_holder_idx=23, env_step_runtime=1.77 seconds
tournament=190, best_loss=11.18, avg_loss=12.99, champion_idx=0, best_win_streak=105.0, record_holder_idx=37, env_step_runtime=1.79 seconds
tournament=191, best_loss=12.09, avg_loss=13.79, champion_idx=97, best_win_streak=106.0, record_holder_idx=126, env_step_runtime=1.88 seconds
tournament=192, best_loss=11.85, avg_loss=13.48, champion_idx=12, best_win_streak=107.0, record_holder_idx=126, env_step_runtime=1.90 seconds
tournament=193, best_loss=11.21, avg_loss=12.74, champion_idx=28, best_win_streak=108.0, record_holder_idx=126, env_step_runtime=1.80 seconds
tournament=194, best_loss=12.13, avg_loss=14.07, champion_idx=22, best_win_streak=108.0, record_holder_idx=14, env_step_runtime=1.75 seconds
tournament=195, best_loss=12.28, avg_loss=14.54, champion_idx=14, best_win_streak=109.0, record_holder_idx=14, env_step_runtime=1.82 seconds
tournament=196, best_loss=11.62, avg_loss=13.04, champion_idx=19, best_win_streak=110.0, record_holder_idx=14, env_step_runtime=1.78 seconds
tournament=197, best_loss=11.86, avg_loss=13.42, champion_idx=33, best_win_streak=111.0, record_holder_idx=14, env_step_runtime=1.78 seconds
tournament=198, best_loss=11.66, avg_loss=13.22, champion_idx=80, best_win_streak=109.0, record_holder_idx=21, env_step_runtime=1.80 seconds
tournament=199, best_loss=11.08, avg_loss=13.10, champion_idx=112, best_win_streak=110.0, record_holder_idx=30, env_step_runtime=2.06 seconds
